CharacterDesignId,CharacterDesignName,RaceType,FinalHp,FinalPilot,FinalAttack,FinalRepair,FinalWeapon,FinalScience,FinalEngine,FireResistance,Rarity,SpecialAbilityType,SpecialAbilityFinalArgument,WalkingSpeed,RunSpeed,TrainingCapacity,EquipmentMask,CollectionDesignId,Flags,CharacterHeadPartId,CharacterBodyPartId,CharacterLegPartId,CharacterDesignDescription
16,Serge Eric,White,5,3,2.1,1.7,12,7,10,1,Unique,DeductReload,360,1,2,70,3,0,19,66,67,68,A boy who willing to be a general in the space
17,Robot,Robot,7,12,2.7,2.8,14,14,14,1,Special,DeductReload,480,1,2,100,10,0,3,69,70,71,R..o..b....o.........to
18,Yusi,Asian,10,18,2.5,2.9,18,21,12,1,Hero,HealSelfHp,10,1,2,90,3,1,3,72,73,74,An artist wish that he found every astronomical landscape and record them by drawing
19,Xin,Asian,10,18,2.7,2.7,15,18,24,1,Hero,AddReload,50,1,2,90,3,1,3,75,76,77,The BOSS
20,Monk,White,4,1,1.4,2.1,3,15,3,1,Elite,None,0,1,2,60,9,0,19,78,79,80,A monk who doesn't want to limit his own living area trying find the only truth.
21,Roborob,Robot,12,12,2.8,3.1,20,20,8,1,Hero,DeductReload,360,1,2,90,9,0,3,81,82,83,Artificial life super technology if you don't see a man inside
22,Steve,Asian,4,3,1.4,1.4,6,6,6,1,Common,None,0,1,2,50,3,0,19,84,8,33,A humble crew.
23,Lin,Asian,3,4,1.8,1.3,6,6,6,1,Common,None,0,1,2,50,6,0,19,85,2,28,A cute girl.
24,Hulk,Black,3,4,1.4,1.4,8,6,6,1,Common,None,0,1,2,50,3,0,19,86,12,35,In pursuit of happiness.
25,Michelle,Black,3,4,1.4,1.4,6,8,6,1,Common,None,0,1,2,50,3,0,19,87,6,30,Wants to marry a president.
26,Kevin,White,3,4,1.4,1.4,6,6,8,1,Common,None,0,1,2,50,6,0,19,88,10,34,Jack of all trades.
27,Monica,White,3,4,1.4,1.8,6,6,6,1,Common,None,0,1,2,50,3,0,19,89,4,29,The mistress.
28,Assassin alien,Alien,6,12,2.8,2.5,18,15,15,1,Epic,DamageToCurrentEnemy,6,1,2,80,9,0,19,90,91,92,The best assassin from the well known bloody planet.
29,Ponytail Alien,Alien,6,3,2.4,2.8,14,10,10,1,Epic,DeductReload,540,1,2,80,24,0,19,93,94,95,An alien who loves humankind culture. 
30,Area51 Alien,Alien,8,14,2.7,2.7,12,14,18,5,Special,DeductReload,600,1,2,100,10,13,3,96,73,74,Loading...
31,Dennis,White,6,10,2,2.8,12,9,9,3,Unique,HealSameRoomCharacters,4,1,2,70,6,0,19,97,8,33,A guy from cats right society.
32,Demon Boy,Animal,8,15,2.8,3.1,16,18,14,100,Epic,FireWalk,30,1,2,80,6,0,19,98,99,100,A boy who came from a very dark planet trying to prove himself.
33,Professor,White,6,12,2.4,2.4,9,16,9,3,Unique,DeductReload,420,1,2,70,3,0,19,101,102,103,A professor received a help message while he is giving a lecture but he can't ignore the message
34,Mikael Monnier,White,4,7,1.8,1.8,12,6,7,1,Elite,None,0,1,2,60,3,0,19,104,105,106,Monday lover working hard never have blue monday
35,Oren Marcus,White,5,7,1.7,1.9,10,8,7,1,Elite,None,0,1,2,60,3,0,19,107,108,109,Orientation of newbie captain love to guide others
36,Rob,Asian,5,7,1.8,1.8,12,8,8,1,Elite,None,0,1,2,60,6,1,19,110,111,112,Rob :)
37,Thomas,White,10,18,2.7,2.6,15,20,26,8,Hero,DeductReload,600,1,2,90,3,1,3,113,114,115,Finds and destroys bugs on a regular basis. He goes by the name TJ
38,Eric,Asian,8,15,2.9,2.9,15,21,13,5,Epic,HealSameRoomCharacters,5,1,2,80,3,1,19,116,117,118,A missing boy wanted to leave this unpredictable universe but it's too late!
39,Elf,Animal,9,15,3,3,20,12,8,5,Epic,HealSameRoomCharacters,6,1,2,80,24,0,19,119,120,121,A creature coming from a mysterious dimension doesn't belong to our world
40,Captain,White,6,12,2.8,2.5,18,18,18,3,Special,AddReload,50,1,2,200,62,0,9,122,123,124,Captain is an experienced spaceship captain here to enjoy his retired life
41,Vivien,Asian,6,10,2.5,2.3,10,10,18,1,Unique,HealRoomHp,4,1,2,70,6,1,19,125,126,127,Part-time SavySoda Emergency Response Personnel. Some wonder if she is actually part-robot too. 
42,Lollita,White,10,18,3.2,3.1,20,20,20,5,Hero,HealSameRoomCharacters,7,1,2,90,24,0,3,128,129,130,ALWAYS CORRECT
43,Male Nurse,Asian,6,10,2.6,2.2,12,14,14,3,Unique,HealSameRoomCharacters,4,1,2,70,5,0,19,131,132,133,I am a nurse but a male nurse
44,Kent,White,4,7,1.8,1.8,8,8,8,1,Elite,None,0,1,2,60,5,0,19,134,135,136,My name is Kent
45,Government Troop,Robot,8,15,3.1,2.5,15,13,13,5,Epic,DamageToRoom,4,1,2,80,12,0,19,137,138,139,Government Conscripted Troops
46,Gentleman,White,6,12,2.4,2.4,12,12,12,3,Unique,DamageToRoom,3,1,2,70,5,0,19,44,186,127,Legendary HeNtAI
47,Ninja,Asian,8,15,2.8,2.9,20,14,12,5,Epic,DamageToCurrentEnemy,4,1,2,80,6,0,19,140,141,142,Had an assasination mission but his target sent him to space by accident. 
48,Good student,Black,6,12,2.5,2.3,12,14,10,3,Unique,DeductReload,240,1,2,70,6,0,19,143,144,145,Good student wants to learn everything every knowledge including this mystic universe
49,Walking Skeleton,Animal,8,12,2.9,2.9,15,18,13,5,Epic,DamageToSameRoomCharacters,4,1,2,80,24,0,19,146,147,148,The only child of Death himself...
50,Grandpa,White,8,15,2.9,3,15,15,18,6,Special,HealSelfHp,6,1,2,100,3,0,3,149,150,151, An elderly at home is much alike having an invaluable treasure in hand.
51,Arctic Pole Boy,White,4,7,1.8,1.8,8,3,8,2,Unique,Freeze,120,1,2,70,6,0,19,152,153,154,Ready to explore frozen alien worlds
52,Astronaut,Black,5,12,2.2,2.3,10,12,19,3,Unique,HealSelfHp,6,1,2,70,10,0,19,155,156,157,Originally trained by MASA
53,Evil General,Animal,8,12,2.1,2.6,15,3,3,3,Unique,DamageToRoom,5,1,2,70,12,0,19,158,159,160,Ambition general thought he can conquer this whole universe hahaha
54,Collins,White,4,3,1.7,1.7,2,4,4,1,Common,None,0,1,2,50,3,0,19,161,10,34,Collins Ex-Russian Astronaut.
55,Alex,White,4,4,1.5,2.1,2,4,4,1,Common,None,0,1,2,50,3,0,19,162,10,34,Alex an avid rockstar.
56,Jake,White,4,3,1.6,1.9,2,4,4,1,Common,None,0,1,2,50,3,0,19,163,22,38,Huge fan of Elvis 
57,Larry,White,4,3,1.6,1.8,2,4,4,1,Common,None,0,1,2,50,3,0,19,164,18,36,A real ladies man
58,Monkey King,Animal,9,15,2.4,2.9,18,18,0,1,Epic,DamageToRoom,4,1,2,80,5,0,19,165,56,40,The great monkey first monkey in this space
59,Peter,Asian,4,3,1.6,2,2,4,4,1,Common,None,0,1,2,50,3,0,19,166,20,37,Age 34 still lives with parents.
60,Skully,Asian,4,3,1.8,1.9,2,4,4,1,Common,None,0,1,2,50,3,0,19,167,24,39,His deranged father chose the name...
61,Tran,White,4,3,1.8,2.1,2,4,4,1,Common,None,0,1,2,50,3,0,19,168,10,34,Genetically modified fighter
62,Sakura,Asian,8,14,3,3,12,16,18,1,Epic,HealRoomHp,4,1,2,80,10,0,19,169,170,171,A tender girl what is covering by her smile. 
63,Gong Fu girl,Asian,5,7,2,2,3,4,4,3,Elite,None,0,1,2,60,6,0,19,172,173,174,A girl wants to show this world that a female with gong fu can win any type of creatures
64,Sarah,White,5,10,2.1,1.8,9,9,9,3,Elite,None,0,1,2,60,6,0,19,175,176,177,Lively girl just like your neighbour her smile made your day.
65,Jemima ,White,3,3,1.7,1.7,13,9,9,3,Elite,None,0,1,2,60,9,0,19,178,179,180,Was a cheer leader cheers every pilot up.
66,Jane,White,3,3,1.7,1.7,7,12,4,1,Elite,None,0,1,2,60,6,0,19,181,4,29,Does everything to the books
67,Cara,Asian,6,12,2.3,2.4,14,18,3,3,Unique,AddReload,30,1,2,70,10,1,19,182,183,184,Graduated from Space Academy with Xin ;).
68,Witch,White,8,12,3,3,19,14,14,5,Epic,HealSameRoomCharacters,5,1,2,80,10,0,19,188,189,190,Thirst to know every spell on this universe voodoo magic bless everything.
69,Jessica,White,7,12,2.4,2.4,15,12,12,6,Unique,DamageToCurrentEnemy,4,1,2,70,12,0,19,191,192,193,1/100 vampire lineage. 
70,Linda,White,3,3,1.7,1.7,7,8,4,1,Elite,None,0,1,2,60,3,0,19,194,4,29,After becoming famous from a Youtube home video she needed to escape to space.
71,Tina,White,3,3,1.7,1.7,7,8,8,1,Common,None,0,1,2,50,6,0,19,195,16,32,Lover of all things space.
72,Mary,White,4,3,1.7,1.7,7,12,12,1,Elite,None,0,1,2,60,3,0,19,196,4,29,One of the kindest people you'll meet... unless you're the enemy.
73,Candy,White,3,3,1.8,1.8,8,8,8,1,Elite,None,0,1,2,60,6,0,19,197,4,29,Received the nickname 'Candy' after getting a candy cain stuck in her hair. She's never removed it...
74,Invader,Alien,10,18,2.7,2.6,18,20,19,8,Hero,DamageToSameRoomCharacters,6,1,2,90,24,0,3,198,199,200,We are the rule of galaxy
75,Blingy Captain,White,6,12,2.8,2.5,18,18,18,3,Special,DeductReload,420,1,2,200,62,0,9,201,202,203,Blingy Captain
76,Bling Captain,Asian,6,12,2.8,2.5,18,18,18,3,Special,AddReload,55,1,2,200,62,0,9,204,205,206,Bling Captain
77,Roach,Animal,5,4,3.1,2.8,6,6,6,1,Special,DamageToSameRoomCharacters,7,1,2,100,24,5,3,207,208,209,Roachin' tends to cause Pixel Starships to crash.
78,Emily,Asian,4,12,2.4,2.1,15,19,19,1,Unique,DamageToRoom,4,1,2,70,6,1,19,210,211,212,Cool Kid
79,Golden Troop,Robot,8,15,3.1,2.5,15,13,13,5,Epic,HealRoomHp,4,1,2,80,12,0,19,213,214,215,A golden government troop! Like a regular troop only better in every way imaginable.
80,Salon Customer,Asian,4,10,2.1,1.8,15,9,9,3,Unique,DamageToSameRoomCharacters,3,1,2,70,9,4,3,216,217,218,Hangs out at the local basketball court.
81,Kingpin,White,7,19,2.4,1.8,9,9,9,3,Epic,HealSameRoomCharacters,5,1,2,80,3,4,3,219,220,221,Making the universe great!
82,Office Exec,Asian,5,10,2.1,1.8,9,9,9,3,Unique,DamageToCurrentEnemy,4,1,2,70,3,4,3,222,223,224,Has a corner office.
83,David,White,5,10,2.1,1.8,9,9,9,3,Unique,HealSelfHp,4,1,2,70,3,4,3,225,226,227,Lives in a town house.
84,Paul,White,5,10,2.1,1.8,9,9,9,3,Unique,DamageToRoom,3,1,2,70,3,4,3,228,229,230,Goes hunting
85,Omar,Black,5,10,2.1,1.8,9,9,9,3,Unique,DamageToRoom,3,1,2,70,3,4,3,231,232,233,Has poked bowls for lunch.
86,Jesus,White,5,10,2.1,1.8,9,9,9,3,Unique,AddReload,30,1,2,70,24,4,3,234,235,236,Surname: Christ
87,Teddy,Animal,7,4,2.8,2.4,12,12,2,0,Epic,AddReload,30,1,2,80,12,0,19,237,238,239,Fluffy and deadly with a gun. Bad at repairing.
88,Liu Bei,Asian,8,15,2.5,3,16,18,18,4,Epic,AddReload,35,1,2,80,3,2,19,240,241,28,Likes to drink tea with his army friends.
89,Guan Yu,Asian,11,8,3,2,24,20,8,6,Hero,DamageToCurrentEnemy,8,1,2,90,6,2,3,243,244,246,Long beard loves green.
90,Zhang Fei,Asian,9,3,2.9,2.2,20,19,6,3,Epic,DamageToRoom,6,1,2,80,10,2,19,247,248,249,Hot tempered and smelly.
91,Dong Zhuo,Asian,8,15,2.5,2.5,18,19,16,5,Epic,HealSameRoomCharacters,2,1,2,80,24,2,19,250,251,252,Quite old but still love young beautiful girls.
92,Cao Cao,Asian,8,19,2.5,2.6,21,21,21,5,Epic,HealSameRoomCharacters,5,1,2,80,3,2,19,253,254,255,Ancient Emperor. Somehow ended onboard a starship.
93,Lyu Bu,Asian,10,8,3,2.2,24,20,8,6,Hero,DamageToCurrentEnemy,8,1,2,90,3,2,3,256,257,258,A powerful warrior who loves young beautiful girls
94,Zhao Yun,Asian,9,3,2.8,2.6,21,20,9,3,Epic,DamageToSameRoomCharacters,4,1,2,80,5,2,19,259,260,261,Dragon warrior. Except he's just human.
95,Zhuge Liang,Asian,8,21,2.8,3.1,24,24,24,10,Epic,HealSameRoomCharacters,3,1,2,80,10,2,19,262,263,264,Likes board games.
96,Da Qiao,Asian,4,3,1.8,1.8,7,8,8,1,Elite,None,0,1,2,60,3,2,19,265,266,28,A beautiful girl sister of Xiao Qiao
97,Xiao Qiao,Asian,4,3,1.8,1.8,7,8,8,1,Elite,None,0,1,2,60,10,2,19,268,269,270,A beautiful girl younger sister of Da Qiao
98,Easter Bunny,Animal,6,4,2.5,2.4,12,12,2,0,Epic,DeductReload,360,1,2,80,10,5,19,271,272,273,I am a bunny Easter bunny!
99,Mr Egggg,Animal,5,4,2.6,2.8,12,12,2,0,Unique,DeductReload,300,1,2,70,12,0,19,274,275,276,My name is Mr Egggg!
100,Giant Slime,Animal,10,0,2.8,1.2,12,12,2,0,Epic,DamageToSameRoomCharacters,4,1,2,80,24,0,19,277,278,279,My friends told me that I look like a big and tasty jelly!
101,Simon,White,6,4,2.6,2.4,12,12,12,0,Unique,HealSelfHp,6,1,2,70,6,0,19,280,281,282,Native American Warrior
102,Rocky,Animal,13,0,3,1,1,2,2,100,Hero,DamageToRoom,5,1,2,90,24,0,3,283,284,285,Had a hard life
103,Golden Boy,Robot,6,12,2.2,2.5,14,14,18,30,Epic,DeductReload,420,1,2,80,10,0,19,286,287,288,People love golden stuff such as golden cups. So yeah I am a golden boy :)
104,Cat Boy,White,9,4,2,1.4,4,15,4,0,Unique,DeductReload,480,1,2,70,5,0,19,289,290,291,Meow. A boy dressed up like a cat
105,Tin Man,Robot,7,12,3,1.2,16,4,3,0,Epic,DamageToCurrentEnemy,5,1,2,80,24,0,19,292,293,294,Turned a trash can into armour
106,Abu,Black,6,0,2.1,2.1,9,9,9,0,Elite,None,0,1,2,60,6,0,19,295,296,297,Has a snake as a pet
107,Mecha,Robot,11,14,2.5,3.2,9,9,18,0,Hero,HealRoomHp,8,1,2,90,24,0,3,298,299,300,Heavily armoured engineering vehicle.
108,Foxy Girl,White,6,15,2.4,2.4,14,7,7,0,Epic,HealSelfHp,6,1,2,80,12,0,19,301,302,304,Girl who loves foxes.
109,Dr Sera,White,6,4,2.4,2.4,13,13,13,0,Epic,DamageToSameRoomCharacters,4,1,2,80,10,0,19,305,306,307,Dr Sera
110,Silver Paladin,Robot,11,22,3.3,3.1,16,12,15,30,Legendary,DamageToRoom,6,1,2,110,9,0,3,308,309,310,Composed of the souls of two legendary heroes.
112,Ron,White,9,12,2.9,2.8,16,10,12,1,Epic,DamageToCurrentEnemy,7,1,2,80,10,0,19,311,312,313,Dribbles a soccer ball around.
113,Jaiden,Black,11,8,3,2,21,20,8,6,Hero,DamageToCurrentEnemy,7,1,2,90,9,0,3,314,315,316,Real dream is to explore space.
114,SCV,White,12,8,3,2,21,24,21,6,Legendary,DamageToCurrentEnemy,9,1,2,110,24,0,3,317,318,319,I am a machine but I know what love is! - thunder_kiss_65 (July 2016 Winner)
115,Professor Brenda,Asian,11,19,3.2,2.5,20,20,20,12,Legendary,DamageToSameRoomCharacters,7,1,2,110,9,0,3,320,321,322,This star academy professor has an IQ of over 300 which makes it really hard for her to find a date.
116,Paralympic God,White,9,21,2.2,2,21,21,21,6,Legendary,AddReload,55,1,2,110,24,0,3,323,324,325,Spent decades to work out the rules of the universe... then realizes it was wrong.
117,Eva,Robot,14,8,2.8,2.5,12,12,27,6,Legendary,HealRoomHp,5,1,2,110,24,0,3,326,327,328,Protector of ancient qtarian artifact
118,Meowy Cat,Animal,7,7,3.3,2,10,10,10,1,Special,DamageToCurrentEnemy,17,1,2,100,12,3,3,329,330,331,A stray kitten turned space assassin. Lost 2 lives already.
119,Squid,Animal,14,12,2.4,2,13,14,13,0,Special,HealSelfHp,9,1,2,100,8,5,3,332,333,334,Used to be in a powerful warfleet. Now works at a sushi restaurant.
120,Zombie,Animal,10,0,2.8,0.9,0,0,0,0,Unique,DamageToSameRoomCharacters,8,1,2,70,9,0,19,335,336,337,Very DEADicated crew.
121,Zombieee,Animal,9,0,2.8,1,4,0,0,0,Unique,DamageToSameRoomCharacters,8,1,2,70,24,0,19,338,339,340,I love scary movies!
122,Mummy,Animal,12,0,2.4,2,9,12,0,0,Special,DamageToSameRoomCharacters,6,1,2,100,24,0,3,341,342,343,Strong and walks around with a roll of toilet paper.
123,Helen,White,5,10,2.1,1.8,9,9,9,1,Unique,DamageToCurrentEnemy,7,1,2,70,3,4,3,344,345,346,Working as a intern at a law firm. Won the local rope skipping competition.
124,Chigs,Asian,5,4,1.9,2.2,6,6,6,1,Elite,None,0,1,2,60,10,0,19,347,348,349,Skates everywhere and loves sushi.
125,Reaper,Animal,12,0,3.2,1.5,7,12,18,0,Legendary,DamageToCurrentEnemy,11,1,2,110,24,0,3,350,351,352,Wears black religiously.
126,Willy,Black,11,19,2.9,2.7,21,21,18,80,Legendary,HealRoomHp,5,2,2,110,24,0,3,356,360,361,I am Legend(ary)
127,Alien Queen,Alien,12,15,2.9,2.7,15,14,15,70,Legendary,DamageToSameRoomCharacters,8,1,2,110,12,0,3,362,363,364,Where are my babies?
128,Turkey Man,Animal,9,10,2.2,2,8,21,7,0,Special,HealSameRoomCharacters,5,1,2,100,24,0,3,368,369,370,Works part time at KFT Marketing.
129,Wolfy,Animal,9,15,2.9,1.5,22,6,16,1,Special,DamageToRoom,5,1,2,100,6,5,3,374,375,376,Pastime: hanging out with best buddies at the Starbar!
130,Dark Matter Hero,White,10,8,3.1,1.4,14,27,10,30,Special,DeductReload,600,1,3,100,5,0,3,371,372,373,An epic hero made from dark matter!
131,Old Driver,Asian,10,25,2.6,2.9,6,6,25,1,Special,HealRoomHp,8,1,2,100,5,0,3,377,378,379,Knows where to go for a good time.
132,Robo Santa,White,11,22,2.5,2.5,8,22,7,0,Special,DamageToSameRoomCharacters,8,1,2,100,12,0,3,380,381,382,I've got a present for ya.
133,Orc,Animal,8,12,2.7,2.6,20,8,14,30,Epic,DamageToRoom,5,1,2,50,3,0,19,401,402,403,Feeling orcish.
134,Soda Delivery Guy,Asian,10,22,2.6,3,6,6,24,35,Special,AddReload,45,2,3,100,6,1,3,365,366,367,Delivers Soda and Fixes Bugs. High on Sugar so walks faster than other ppl.
135,Zakian,Alien,10,8,3.2,1.2,14,14,14,0,Special,HealSelfHp,7,1,2,100,12,0,3,425,426,427,A dangerous race of assassins.
136,Giant Chicken,Animal,9,15,2.9,1.8,25,6,14,1,Special,HealSameRoomCharacters,6,1,2,100,24,5,3,428,429,430,Celebrate Year of the Chicken!
137,Stevo,White,9,15,2.5,1.3,4,7,22,3,Epic,DamageToSameRoomCharacters,6,1,2,80,12,0,19,394,395,396,Crikey! He has a pet crocodile.
138,Dark Matter Legend,White,10,8,3.2,1.4,14,27,10,30,Special,DeductReload,610,1,2,100,5,0,3,438,439,440,A dark hero has evolved to become a legend.
139,Transport Driver,Asian,10,25,2.8,3,6,6,26,1,Special,HealRoomHp,9,1,2,100,5,0,3,435,436,437,Part time driver part time assassin.
140,Phoenix,Animal,10,15,2.6,1.1,22,8,10,100,Special,HealSameRoomCharacters,6,1,2,100,24,5,3,441,442,443,A squid one day made love to a wolf. The result was surprising.
141,Dark Matter Mechi,White,11,8,3.2,1.5,14,27,12,50,Special,DeductReload,620,1,2,100,6,0,3,447,448,449,A Mechi powered by dark matter.
142,Mr Blue,White,2,24,3.3,3.3,24,24,24,1,Special,HealRoomHp,9,1,2,100,5,0,3,450,451,452,I'm Mr Blue look at me! I'm happy to help just don't keep me around too long...
143,D.R.A.G.O.N,Animal,11,20,2.7,1.1,8,8,22,100,Special,DamageToSameRoomCharacters,7,1,2,100,6,0,3,444,445,446,A mystical creature with scaly skin.
144,Sie,White,7,10,2.7,1.5,10,21,4,1,Epic,HealSameRoomCharacters,4,1,2,80,12,0,19,391,392,393,Loved by all the engineers.
145,Bogan,White,10,13,3,2.2,24,14,14,0,Hero,HealSelfHp,6,1,2,90,6,0,3,453,454,455,Drank beer until DNA mutated. Developed regeneration ability.
146,Saint Patrick,White,8,9,1.8,1.4,13,25,11,0,Special,HealSameRoomCharacters,7,1,2,100,6,0,3,462,463,464,Once a beer loving saint. Now reborn as a Starship Medic.
147,King Dong,Animal,14,9,2.9,1.6,10,9,9,20,Legendary,HealSelfHp,10,1,2,110,24,5,3,459,460,461,Favourite Food: Banana Favourite Toy: Barbie
148,Taura,Animal,12,4,2.9,2.2,22,9,15,1,Hero,DamageToSameRoomCharacters,7,1,2,90,24,9,3,465,466,467,A Mystical Beast Hero that frequently appears in the months of April to May.
149,D.R.A.K.E,Animal,11,21,2.8,1.2,8,8,23,100,Special,DamageToSameRoomCharacters,7,1,2,100,12,0,3,474,475,476,Dragon's older bro... more handsome smarter but older...
150,Bad Uncle,Robot,9,3,2.5,2.8,14,20,10,1,Epic,DeductReload,580,1,2,80,6,0,19,471,472,473,First generation synthetic human. Spends as long to style hair as real human.
151,Maya,Robot,10,12,2.9,2.4,16,21,12,1,Hero,AddReload,50,1,2,90,6,0,3,468,469,470,Machina Project. Second Generation Synthetic Human. Loves and Cries like a real Human.
152,Huntress,Animal,10,10,2.9,1.8,12,17,13,30,Hero,DamageToSameRoomCharacters,7,1,2,90,9,0,3,477,478,479,Forever hunting for a selfie with Doge. - Blacksteed Tournament 11
153,Dr Dong,Asian,14,14,2,1.5,14,12,12,1,Special,HealSelfHp,14,1,2,100,6,0,3,490,491,492,Doctor trying to get home. Has a 10% chance to be randomly selected for voluntary re-accomodation in each PVP departure.
154,Agay,Asian,7,12,3,3.1,21,18,9,1,Epic,AddReload,45,1,2,80,6,0,19,493,494,495,Carry's around a blowdryer and more handsome than most guys...
155,Bio Android,Robot,14,0,2.5,0,0,0,0,1,Special,DamageToSameRoomCharacters,5,1,1,0,0,0,0,496,497,507,Developed underwater. A powerful offensive droid.
156,Ryzen,White,11,8,3,1.5,12,25,12,50,Hero,DamageToCurrentEnemy,10,1,2,90,6,0,3,498,499,500,Half man Half god Half Machine... does not compute...
157,Mama,Asian,6,10,2.3,1.8,9,9,13,1,Unique,DamageToCurrentEnemy,7,1,2,70,12,0,19,504,505,506,Cooks cleans shops up aliens..
158,Froggy,Animal,10,10,2.9,1.9,20,15,13,0,Special,DamageToSameRoomCharacters,7,1,2,100,6,5,3,501,502,503,He's mean he's green he's a Frog... and best buds with Squid.
159,Geeky Vincent,Asian,8,18,2.2,3,18,17,21,1,Epic,HealRoomHp,9,1,2,80,6,1,19,508,509,510,Galaxy tabletop game champion and android fanboy. For some reason everyone blames him for all their problems.
160,Le Vincent,Asian,8,18,2.5,2.9,19,17,22,1,Epic,HealRoomHp,8,1,2,80,6,1,19,513,514,515,By putting on new galaxy sunnies an android boy is now sexy.
161,Alpaco,Animal,9,9,3.3,1.5,25,10,10,1,Hero,HealSameRoomCharacters,6,1,2,90,24,5,3,518,519,520,One day a sheep slept with a giraffe... A super cute creature was born.
162,Draconian Mecha,Animal,11,23,3.3,1.9,16,17,25,50,Special,DamageToSameRoomCharacters,7,1,2,100,6,0,3,521,522,523,The latest from D.R.A.G.O.N Engineering. A augmented dragon soldier with exceptional combat stats.
163,Tiffany,White,6,10,2.5,2.5,10,19,10,1,Unique,HealRoomHp,4,1,2,70,12,1,19,524,525,526,Always cheerful and first to respond to those in need.
164,Angry Squid,Animal,14,12,2.4,2,13,14,13,0,Special,DamageToCurrentEnemy,11,1,2,100,8,5,3,527,528,529,Squid's brother had a fight at the local pub. Now attending anger management.
165,Hydra,Animal,10,15,2.6,1.1,22,8,10,100,Special,Freeze,270,1,2,100,24,0,3,530,531,532,Hail Hydra.
166,Service Droid I,Robot,2,0,0.5,1,0,0,0,30,Common,HealSameRoomCharacters,1,1,1,0,0,0,16,546,547,548,A humble droid ready to serve its wise master.
167,Ribi,Black,6,10,2.6,2.1,19,10,10,1,Unique,SetFire,200,1,2,70,12,0,19,561,562,563,Has an umbrella ella ellaaa
168,Service Droid II,Robot,3,0,0.5,1.2,0,0,0,40,Common,HealSameRoomCharacters,2,2,2,0,0,0,16,570,571,572,A humble droid ready to serve its wise master.
169,Service Droid III,Robot,4,0,0.5,1.5,0,0,0,50,Common,HealSameRoomCharacters,3,2,2,0,0,0,16,576,577,578,A humble droid ready to serve its wise master.
170,Service Droid IV,Robot,5,0,0.5,1.8,0,0,0,60,Common,HealSameRoomCharacters,4,2,2,0,0,0,16,579,580,581,A humble droid ready to serve its wise master.
171,Service Droid V,Robot,6,0,0.5,2,0,0,0,75,Common,HealSameRoomCharacters,5,3,3,0,0,0,16,582,583,584,A humble droid ready to serve its wise master.
